date,hour,is_weekend,predicted_arrivals,pi_lower,pi_upper
2025-10-29,0,0,2.2121710891598863,0.0,6.3188956666699
2025-10-29,1,0,2.4586670814068525,0.0,6.562619200491806
2025-10-29,2,0,2.705163073653819,0.0,6.806593149696383
2025-10-29,3,0,2.9516590659007855,0.0,7.050817976494358
2025-10-29,4,0,3.198155058147752,0.0,7.295294098092379
2025-10-29,5,0,3.444651050394718,0.0,7.540021886312465
2025-10-29,6,0,3.691147042641685,0.0,7.785001667251651
2025-10-29,7,0,3.937643034888651,0.0,8.030233720982572
2025-10-29,8,0,4.184139027135617,0.09255977297560936,8.275718281295624
2025-10-29,9,0,4.430635019382583,0.33981450328193663,8.52145553548323
2025-10-29,10,0,4.67713101162955,0.586816399092406,8.767445624166694
2025-10-29,11,0,4.923627003876517,0.8335653665870071,9.013688641166027
2025-10-29,12,0,5.170122996123483,1.0800613588339738,9.260184633412994
2025-10-29,13,0,5.416618988370449,1.3263043758333053,9.506933600907594
2025-10-29,14,0,5.663114980617416,1.5722944645167694,9.753935496718062
2025-10-29,15,0,5.909610972864382,1.8180317187043737,10.00119022702439
2025-10-29,16,0,6.1561069651113485,2.063516279017427,10.24869765120527
2025-10-29,17,0,6.402602957358315,2.3087483327483493,10.496457581968281
2025-10-29,18,0,6.649098949605281,2.5537281136875345,10.744469785523027
2025-10-29,19,0,6.895594941852248,2.7984559019076203,10.992733981796874
2025-10-29,20,0,7.142090934099214,3.0429320235056414,11.241249844692785
2025-10-29,21,0,7.38858692634618,3.2871568503036155,11.490017002388745
2025-10-29,22,0,7.635082918593147,3.531130799508193,11.7390350376781
2025-10-29,23,0,7.881578910840113,3.774854333330099,11.988303488350127
